Date,Name,Tags,Letterboxd URI,Description
1,Poor Things,2023,https://boxd.it/tNWU,
2,World War III,2022,https://boxd.it/BZBU,
3,The Boy and the Heron,2023,https://boxd.it/ipeM,
4,About Dry Grasses,2023,https://boxd.it/oNbO,
5,All of Us Strangers,2023,https://boxd.it/Bz3C,
6,The Promised Land,2023,https://boxd.it/B1hA,
7,Saltburn,2023,https://boxd.it/z4eg,
8,Past Lives,2023,https://boxd.it/oNB8,
9,Heroic,2023,https://boxd.it/AafQ,
10,The Teachers’ Lounge,2023,https://boxd.it/BINY,
11,Infinity Pool,2023,https://boxd.it/oPSK,
12,Fools,2022,https://boxd.it/lenu,
13,Green Border,2023,https://boxd.it/GqGq,
14,Fingernails,2023,https://boxd.it/tJ82,
15,Monster,2023,https://boxd.it/DJEM,
16,Critical Zone,2023,https://boxd.it/HnYy,
17,The Holdovers,2023,https://boxd.it/vHza,
18,May December,2023,https://boxd.it/vEE2,
19,Fair Play,2023,https://boxd.it/yirc,
20,The Delinquents,2023,https://boxd.it/qLyA,
21,Inside the Yellow Cocoon Shell,2023,https://boxd.it/Gama,
22,Dream Scenario,2023,https://boxd.it/v2h0,
23,Subtraction,2022,https://boxd.it/C69o,
24,Blaga's Lessons,2023,https://boxd.it/GZeQ,
25,Autobiography,2022,https://boxd.it/wukS,
26,Copenhagen Does Not Exist,2023,https://boxd.it/z8OW,
27,Red Rooms,2023,https://boxd.it/ym4c,
28,The Beast,2023,https://boxd.it/yqmk,
29,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
30,A Man,2022,https://boxd.it/wOeU,
31,Ferrari,2023,https://boxd.it/cEtq,
32,El Conde,2023,https://boxd.it/Bt4O,
33,Guardians of the Formula,2023,https://boxd.it/HnVO,
34,Kidnapped,2023,https://boxd.it/u9wa,
35,Return to Seoul,2022,https://boxd.it/zXDg,
36,The Zone of Interest,2023,https://boxd.it/gJsA,
37,The Rye Horn,2023,https://boxd.it/uMeE,
38,Richelieu,2023,https://boxd.it/AbI0,
39,When Evil Lurks,2023,https://boxd.it/rXBe,
40,Fallen Leaves,2023,https://boxd.it/Bgew,
41,Maestro,2023,https://boxd.it/j0DE,
42,Flora and Son,2023,https://boxd.it/E63u,
43,Pamfir,2022,https://boxd.it/w5W8,
44,Falcon Lake,2022,https://boxd.it/zHkW,
45,The Taste of Things,2023,https://boxd.it/Arke,
